"Group","Low","High"
1,8,28
1,18,28
1,8,23
1,12,20
1,15,30
1,12,32
1,12,20
1,18,31
1,29,25
1,6,28
1,7,28
1,14,30
1,11,23
1,12,20
1,31,24
1,11,20
1,17,23
1,14,32
1,15,23
1,8,20
1,17,31
1,7,20
1,12,23
1,15,20
1,12,20
1,21,20
1,27,27
1,18,20
1,25,27
2,46,13
2,26,10
2,47,22
2,44,14
2,34,4
2,34,4
2,44,7
2,39,5
2,20,0
2,43,11
2,43,25
2,34,2
2,25,10
2,50,9
2,25,9
2,39,2
2,34,7
2,44,15
2,36,3
2,40,5
2,49,21
2,42,7
2,35,1
2,30,2
2,31,13
2,53,12
2,40,4
2,26,4
3,50,55
3,57,51
3,62,52
3,56,52
3,59,40
3,61,68
3,66,49
3,57,49
3,62,58
3,47,58
3,53,40
3,60,54
3,55,48
3,56,65
3,67,56
3,55,43
3,52,49
3,67,62
3,68,61
3,65,58
3,46,53
3,46,49
3,47,40
3,64,22
3,64,54
3,63,64
3,63,56
3,64,44
3,63,40
