"country","birthM","age25M","age50M","age75M","age100M"
"Cayman Islands",79.8000030517578,56.7999992370605,32.9000015258789,11.6000003814697,2.5
"Costa Rica",77.4000015258789,53.7999992370605,30.8999996185303,11.8000001907349,2.09999990463257
"Cuba",76.5,52.5,29.2000007629395,11,2
"Curacao",74.9000015258789,51.5999984741211,28.5,10.3999996185303,2.40000009536743
"Jamaica",69.6999969482422,47.9000015258789,24.8999996185303,7.80000019073486,1.5
"Mexico",72.8000030517578,50,27.8999996185303,11,2.59999990463257
"Panama",74.8000030517578,52.7999992370605,30.8999996185303,12.6000003814697,2.5
"United States",76.4000015258789,52.5999984741211,29.7999992370605,11.1999998092651,2.09999990463257
"Argentina",72.0999984741211,49.0999984741211,26.2999992370605,9.19999980926514,2.59999990463257
"Ecuador",73.9000015258789,51.0999984741211,28.2999992370605,9.80000019073486,0.5
"Armenia",71.6999969482422,48.0999984741211,25.2000007629395,8.69999980926514,0.699999988079071
"Azerbaijan",72.6999969482422,49.4000015258789,26.3999996185303,9.60000038146973,0.899999976158142
"Hong Kong",81.3000030517578,56.7000007629395,32.7999992370605,12.5,2.20000004768372
"Israel",80.0999984741211,55.7999992370605,31.7999992370605,11.8000001907349,2.40000009536743
"Japan",80.8000030517578,56.2999992370605,32.4000015258789,12,2.20000004768372
"Kazakhstan",64.8000030517578,41.9000015258789,21.5,7.40000009536743,2
"Kyrgyzstan",66.8000030517578,44,22.3999996185303,6.40000009536743,1.60000002384186
"South Korea",79,54.5,30.7999992370605,10.8000001907349,2.09999990463257
"Singapore",80.5999984741211,56.0999984741211,32,11.8000001907349,2.09999990463257
"Turkey",75.3000030517578,52,28.2999992370605,9.80000019073486,3.40000009536743
"Åland Islands",80.5999984741211,55.5999984741211,31.6000003814697,10.8000001907349,1
"Belarus",68.5999984741211,44.2999992370605,22.7000007629395,8,1.70000004768372
"Belgium",78.5,54.2000007629395,30.5,11,1.79999995231628
"Bulgaria",71.0999984741211,47.2999992370605,24.5,8.60000038146973,0.5
"Czechia",75.8000030517578,51.4000015258789,27.8999996185303,10,1.89999997615814
"Estonia",73.0999984741211,48.7999992370605,26.2999992370605,9.69999980926514,2.29999995231628
"Faeroe Islands",78.3000030517578,55.5,31.6000003814697,11,2
"Finland",78.5,54.0999984741211,30.5,11.1000003814697,1.70000004768372
"France",78.9000015258789,54.5999984741211,31.1000003814697,11.8999996185303,2.29999995231628
"Germany",78.1999969482422,53.7999992370605,30,10.8000001907349,1.79999995231628
"Greece",78.0999984741211,53.9000015258789,30.2000007629395,11.1999998092651,2.20000004768372
"Hungary",72.0999984741211,47.7999992370605,24.6000003814697,8.69999980926514,0.600000023841858
"Iceland",81,56.5999984741211,32.5999984741211,11.6999998092651,1.5
"Ireland",76.8000030517578,52.7999992370605,29.2000007629395,9.80000019073486,1.89999997615814
"Italy",80.3000030517578,55.9000015258789,31.8999996185303,11.6000003814697,1.79999995231628
"Latvia",69.6999969482422,45.5999984741211,24.1000003814697,9,1.89999997615814
"Lithuania",69.0999984741211,45.2000007629395,23.7999992370605,9.10000038146973,2.29999995231628
"Norway",79.4000015258789,55,31.2000007629395,10.8999996185303,2.29999995231628
"Poland",73.5999984741211,49.4000015258789,26.6000003814697,10,2.29999995231628
"Portugal",77.4000015258789,53,29.5,10.1000003814697,1.10000002384186
"Romania",71.9000015258789,48.2000007629395,25.2000007629395,9,2.09999990463257
"Russia",64.5999984741211,41.2999992370605,21.7999992370605,8.10000038146973,1.39999997615814
"Slovakia",73,49,25.8999996185303,9,0.699999988079071
"Slovenia",77.5999984741211,53.2000007629395,29.5,10.6000003814697,2
"Spain",80,55.5,31.5,11.6999998092651,3.40000009536743
"Sweden",79.9000015258789,55.5,31.5,11,1.60000002384186
"Switzerland",80.6999969482422,56.4000015258789,32.2999992370605,11.6999998092651,1.89999997615814
"Ukraine",66.3000030517578,42.7000007629395,22.2000007629395,8.19999980926514,2.20000004768372
"United Kingdom",79,54.7000007629395,31.1000003814697,11.1999998092651,2.20000004768372
"Australia",80.4000015258789,56.0999984741211,32.5,12,2.29999995231628
