"country","birthF","age25F","age50F","age75F","age100F"
"Cayman Islands",84.6999969482422,60.2999992370605,35.7000007629395,13.1999998092651,2.5
"Costa Rica",82.4000015258789,58.4000015258789,34.2999992370605,13.3999996185303,2.29999995231628
"Cuba",80.4000015258789,56.2000007629395,32.2999992370605,12.3999996185303,2.09999990463257
"Curacao",81,57.9000015258789,33.9000015258789,12.8000001907349,2.20000004768372
"Jamaica",75.1999969482422,52,28.2999992370605,9.39999961853027,1.70000004768372
"Mexico",77.5,54.2000007629395,30.6000003814697,11.6999998092651,2.59999990463257
"Panama",80.9000015258789,57.7999992370605,34.2999992370605,14.1000003814697,2.5
"United States",81.1999969482422,57,33.2999992370605,13,2.29999995231628
"Argentina",78.8000030517578,55.2999992370605,31.7000007629395,11.6999998092651,2.90000009536743
"Ecuador",79.5,56.4000015258789,32.4000015258789,11.3000001907349,0.5
"Armenia",78.1999969482422,54.2000007629395,30.2000007629395,9.80000019073486,0.699999988079071
"Azerbaijan",77.5999984741211,53.9000015258789,29.7999992370605,9.89999961853027,0.800000011920929
"Hong Kong",87.3000030517578,62.7000007629395,38.2999992370605,16,2.90000009536743
"Israel",83.8000030517578,59.2999992370605,34.9000015258789,13.1000003814697,2.29999995231628
"Japan",87,62.4000015258789,38.0999984741211,15.6000003814697,2.5
"Kazakhstan",74.3000030517578,50.9000015258789,27.8999996185303,9.19999980926514,1.79999995231628
"Kyrgyzstan",74.8000030517578,51.7000007629395,28.2999992370605,9.10000038146973,1.70000004768372
"South Korea",85.1999969482422,60.5999984741211,36.4000015258789,13.6999998092651,2.29999995231628
"Singapore",85.0999984741211,60.5,36.0999984741211,14.1999998092651,2.5
"Turkey",80.6999969482422,57.0999984741211,32.7999992370605,11.8000001907349,4.40000009536743
"Åland Islands",84,59,34.2000007629395,13.6999998092651,1.29999995231628
"Belarus",78.9000015258789,54.2999992370605,30.7000007629395,10.5,1.39999997615814
"Belgium",83.0999984741211,58.5999984741211,34.4000015258789,13.1999998092651,1.89999997615814
"Bulgaria",78,54,30.2000007629395,10.1000003814697,0.5
"Czechia",81.4000015258789,56.7999992370605,32.5999984741211,11.6000003814697,1.20000004768372
"Estonia",81.8000030517578,57.4000015258789,33.4000015258789,12.5,1.79999995231628
"Faeroe Islands",84.5,59.7999992370605,35.5999984741211,13.3999996185303,2
"Finland",84.0999984741211,59.5,35.2000007629395,13.3999996185303,1.70000004768372
"France",85.0999984741211,60.5999984741211,36.4000015258789,14.6000003814697,2.29999995231628
"Germany",83.0999984741211,58.5,34.2000007629395,12.8999996185303,2
"Greece",83.1999969482422,58.7000007629395,34.4000015258789,12.3999996185303,2.29999995231628
"Hungary",78.5999984741211,54.2000007629395,30.1000003814697,10.5,0.600000023841858
"Iceland",83.5999984741211,59.2999992370605,34.9000015258789,13.3000001907349,1.5
"Ireland",81.5999984741211,57.2000007629395,33.0999984741211,12.1000003814697,2.09999990463257
"Italy",85,60.4000015258789,36,14,2.09999990463257
"Latvia",79.3000030517578,54.9000015258789,31.2999992370605,11.3999996185303,2.09999990463257
"Lithuania",79.5999984741211,55.2999992370605,31.7999992370605,11.5,1.89999997615814
"Norway",83.4000015258789,58.7999992370605,34.5,13,1.89999997615814
"Poland",81.5999984741211,57.0999984741211,33,12.5,2.40000009536743
"Portugal",83.1999969482422,58.5999984741211,34.4000015258789,12.3000001907349,1.20000004768372
"Romania",78.9000015258789,54.7999992370605,30.7999992370605,10.6000003814697,2
"Russia",75.9000015258789,52.0999984741211,29.2999992370605,10.1999998092651,1.79999995231628
"Slovakia",79.6999969482422,55.4000015258789,31.2999992370605,10.5,0.600000023841858
"Slovenia",83.5,58.7999992370605,34.5,13,2.09999990463257
"Spain",85.5999984741211,61,36.5999984741211,14.3999996185303,3.09999990463257
"Sweden",83.5,59,34.5999984741211,13,1.89999997615814
"Switzerland",84.9000015258789,60.4000015258789,35.9000015258789,13.8000001907349,2.09999990463257
"Ukraine",76.1999969482422,52.2000007629395,29.1000003814697,9.80000019073486,1.60000002384186
"United Kingdom",82.6999969482422,58.2000007629395,34,12.8999996185303,2.29999995231628
"Australia",84.5,60.0999984741211,35.9000015258789,14,2.40000009536743
